,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1445998614,,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-01-20,08:40:44,4917.479999999999,10:02:41,18.27
ID5286317698,,6,1,-37.7738026,144.9836466,-37.8122756,144.973739,7590.0,2018-07-09,05:33:38,2427.059999999999,6:14:05,170.32
ID5595678576,2.0,4,2,-37.8024834,145.0032421,-37.8127594,144.9428102,6153.0,2018-05-22,07:07:58,1530.4799999999996,7:33:28,99.67
ID3446738386,,2,6,-37.8132674,144.9436981,-37.773845,144.9836895,6506.0,2018-04-08,13:05:17,1409.7000000000003,13:28:46,17.7
ID1420655225,0.0,2,3,-37.8133999,144.9410188,-37.8185851,144.9915878,5177.0,2018-06-16,13:16:51,1275.2400000000002,13:38:06,15.89
ID1467376741,0.0,2,7,-37.8126336,144.937464,-37.8618349,144.905716,10651.0,2018-07-11,05:46:38,3455.76,6:44:13,19.03
ID1823420983,,2,6,-37.8149735,144.927519,-37.7874421,144.9804091,7856.0,2018-02-17,16:18:12,2036.4600000000005,16:52:08,17.57
ID3114586079,1.0,5,3,-37.8154839,144.9282243,-37.8170755,144.9832608,6444.0,2018-06-28,16:41:06,1615.9800000000007,17:08:01,15.88
ID3999764412,1.0,4,5,-37.8009025,144.9879895,-37.8164324,144.9284395,6990.0,2018-03-03,02:02:23,1761.780000000001,2:31:44,26.72
ID5618701825,,4,7,-37.8077112,144.9935943,-37.8618349,144.905716,10699.0,2018-03-14,11:22:59,3547.2000000000003,12:22:06,217.9
ID3421012133,,6,2,-37.773845,144.9836895,-37.8164036,144.9284837,8732.0,2018-06-12,21:20:06,1959.3600000000006,21:52:45,24.36
ID3863217281,,4,8,-37.7998278,144.9899197,-37.8158343,145.04645,6151.0,2018-02-02,06:44:14,1898.7000000000003,7:15:52,12.45
ID3113590684,1.0,4,2,-37.8006678,144.9975125,-37.8137147,144.9402116,6044.0,2018-02-27,18:14:18,1499.4599999999998,18:39:17,16.43
ID3905499095,1.0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-03-14,12:34:12,12099.660000000003,15:55:51,57.29
ID1345224885,0.0,6,8,-37.7907967,144.985865,-37.807202,145.0266373,4834.0,2018-07-19,17:59:15,1358.6400000000003,18:21:53,11.95
ID5398950256,2.0,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-07-27,22:20:28,3863.579999999999,23:24:51,
ID1471715709,0.0,2,8,-37.8151688,144.9450977,-37.8158343,145.04645,9159.0,2018-02-19,04:48:45,2560.74,5:31:25,19.44
ID3672032214,1.0,6,4,-37.7738026,144.9836466,-37.8044113,144.9935662,8540.0,2018-02-09,21:25:07,2624.0999999999985,22:08:51,26.11
ID5946623035,2.0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-05-20,20:23:54,13173.359999999999,0:03:27,
ID1281839087,0.0,3,5,-37.816032,144.9725812,-37.8016298,144.9211476,5446.0,2018-02-07,04:52:48,1463.4,5:17:11,15.26
ID3465313309,1.0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-06-10,22:59:26,12681.060000000005,2:30:47,
ID3697552863,1.0,1,3,-37.8141907,144.9630638,-37.820244,144.9788723,1924.0,2018-02-02,07:51:11,476.82,7:59:07,
ID1686256059,0.0,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-04-02,17:06:44,11418.06,20:17:02,29.15
ID1617189143,0.0,9,1,-38.1109156,144.6541725,-37.8135118,144.9651816,43613.0,2018-04-11,02:17:17,10476.420000000002,5:11:53,
ID3913223389,1.0,9,5,-38.1109156,144.6541725,-37.8051789,144.9372875,43327.0,2018-05-25,09:40:28,10384.619999999995,12:33:32,43.52
ID3179665274,1.0,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-01-24,19:11:53,12069.779999999999,22:33:02,
ID3407217513,1.0,3,1,-37.8246087,145.0050343,-37.8191206,144.9597134,4518.0,2018-03-15,09:34:23,1078.5000000000007,9:52:21,7.9
ID3684094577,1.0,3,2,-37.8103055,144.9983112,-37.8143868,144.942835,5172.0,2018-03-16,08:01:58,1346.7000000000005,8:24:24,10.88
ID3678347661,1.0,2,8,-37.8132674,144.933444,-37.807202,145.0266373,9911.0,2018-01-24,20:26:59,2547.84,21:09:26,21.05
ID3228580401,1.0,9,5,-38.1109156,144.6541725,-37.8082834,144.9321279,43264.0,2018-06-02,03:57:16,10390.139999999996,6:50:26,59.27
ID3483122343,1.0,7,3,-37.8618349,144.905716,-37.8237007,144.9868771,9091.0,2018-03-18,19:33:21,2997.72,20:23:18,
ID1833020459,0.0,2,3,-37.8125407,144.9364331,-37.8216561,145.0025611,6708.0,2018-07-24,09:52:28,1580.3400000000001,10:18:48,5.62
ID3466171406,1.0,1,6,-37.8173951,144.9459075,-37.7738026,144.9836466,9427.0,2018-03-16,19:47:12,2929.5600000000004,20:36:01,23.29
ID3567322220,1.0,9,2,-38.1109156,144.6541725,-37.8222909,144.9498048,42148.0,2018-02-16,17:37:55,10122.719999999998,20:26:37,
ID1180091048,0.0,2,1,-37.8228692,144.9393981,-37.8072367,144.9495695,3257.0,2018-05-27,19:02:20,769.0199999999998,19:15:09,
ID3291401470,1.0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-05-01,02:10:46,4298.280000000001,3:22:24,33.82
ID3948463713,1.0,8,4,-37.8158343,145.04645,-37.8124003,145.0163066,4546.0,2018-01-02,06:47:47,1437.1799999999998,7:11:44,8.96
ID3597898167,1.0,3,6,-37.8206146,144.9837337,-37.7738026,144.9836466,9199.0,2018-04-22,13:03:41,2842.32,13:51:03,25.32
ID3751201428,1.0,9,5,-38.1109156,144.6541725,-37.8029944,144.9289064,44049.0,2018-01-11,16:37:28,10545.899999999996,19:33:13,51.51
ID1519570327,0.0,2,4,-37.8228326,144.9474039,-37.8000623,145.0052351,6709.0,2018-02-03,05:47:18,1722.1799999999998,6:16:00,
ID1233201419,0.0,6,4,-37.7908183,144.9857929,-37.8026593,145.016216,4359.0,2018-05-03,22:42:30,1144.5,23:01:34,17.04
ID5489943537,2.0,2,4,-37.8129859,144.9393261,-37.8113222,145.0005072,5795.0,2018-04-03,21:27:54,1472.0399999999997,21:52:26,
ID3888030181,1.0,3,4,-37.8244881,144.9829643,-37.8109297,145.0153861,4335.0,2018-04-12,21:04:04,1123.5600000000004,21:22:47,22.33
ID1678243814,0.0,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-07-15,14:15:26,11350.5,17:24:36,33.72
ID1612730900,0.0,6,7,-37.7874325,144.9803767,-37.8618349,144.905716,11633.0,2018-05-07,18:39:22,3663.780000000001,19:40:25,
ID1866876307,0.0,3,6,-37.8186939,145.0003434,-37.7907967,144.985865,4371.0,2018-05-14,14:18:49,1205.3400000000001,14:38:54,13.11
ID1469013851,0.0,5,8,-37.8161952,144.9287407,-37.8158343,145.04645,11636.0,2018-02-02,19:20:28,3232.7999999999997,20:14:20,14.08
ID3337762995,1.0,5,9,-37.7990483,144.9324169,-38.1109156,144.6541725,45105.0,2018-05-10,19:05:23,10856.339999999998,22:06:19,51.88
ID1936587105,0.0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-02-02,09:53:57,4298.280000000001,11:05:35,11.01
ID1575768855,0.0,2,9,-37.8243231,144.9480425,-38.1109156,144.6541725,42151.0,2018-01-27,06:20:15,10126.259999999998,9:09:01,26.27
ID5825924723,2.0,1,2,-37.8231884,144.9607959,-37.8206792,144.9485253,1559.0,2018-02-16,07:09:12,411.29999999999995,7:16:03,
ID3926863889,1.0,1,6,-37.8043748,144.9663766,-37.773845,144.9836895,3939.0,2018-07-12,02:01:29,773.7,2:14:22,
ID5611486250,2.0,6,5,-37.7907967,144.985865,-37.8073409,144.9364254,6184.0,2018-04-07,12:57:28,1802.6999999999998,13:27:30,134.54
ID5438425305,2.0,4,2,-37.8004061,145.0055594,-37.8166412,144.9316921,9231.0,2018-03-28,00:02:57,2313.059999999999,0:41:30,164.66
ID3351642435,1.0,1,3,-37.8188542,144.9534151,-37.823527,144.9693394,1895.0,2018-06-17,19:11:53,486.06,19:19:59,15.72
ID1121891642,0.0,3,2,-37.8231848,144.9880665,-37.8100335,144.93596,5316.0,2018-01-16,09:22:34,1328.7600000000002,9:44:42,7.56
ID1670990409,0.0,7,2,-37.8618349,144.905716,-37.8243114,144.9439632,9128.0,2018-04-10,13:40:45,3178.2,14:33:43,15.19
ID1637997061,0.0,4,2,-37.8112457,145.0004382,-37.8154856,144.935486,6181.0,2018-02-02,01:14:57,1577.099999999999,1:41:14,15.33
ID1341994802,0.0,4,5,-37.7990801,144.9891289,-37.8061816,144.9396584,6241.0,2018-07-03,08:40:19,1736.2800000000002,9:09:15,7.4
ID3887954502,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-07-16,00:28:48,11407.859999999999,3:38:55,
ID3886912448,1.0,5,6,-37.7998828,144.9272705,-37.773845,144.9836895,8141.0,2018-05-17,02:03:09,1850.4000000000008,2:33:59,
ID3847665201,1.0,5,6,-37.8011957,144.9325838,-37.7874421,144.9804091,5811.0,2018-04-11,19:00:43,1501.9199999999998,19:25:44,16.03
ID1293828815,0.0,3,4,-37.8169681,144.9901651,-37.810568,145.0159907,3362.0,2018-01-12,10:11:42,839.7600000000002,10:25:41,
ID3214133319,1.0,3,7,-37.822344,144.9682038,-37.8618349,144.905716,7878.0,2018-06-24,15:21:11,2756.16,16:07:07,24.33
ID3905358582,1.0,3,2,-37.818357,144.9690051,-37.822214,144.9499179,1961.0,2018-03-24,07:33:16,505.08000000000004,7:41:41,11.47
ID5917811354,2.0,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-01-19,15:26:30,2437.38,16:07:07,161.98
ID5704821540,2.0,1,2,-37.8129669,144.9655656,-37.8100335,144.93596,3179.0,2018-01-07,23:23:32,814.5599999999998,23:37:06,85.79
ID1340760532,0.0,2,7,-37.817899,144.9502679,-37.8618349,144.905716,8873.0,2018-03-10,07:45:14,3008.22,8:35:22,
ID3925376643,1.0,8,5,-37.8158343,145.04645,-37.7974545,144.926022,11236.0,2018-03-23,03:06:50,3113.7000000000003,3:58:43,29.82
ID1157805553,0.0,9,5,-38.1109156,144.6541725,-37.805175,144.9328339,43576.0,2018-07-11,05:20:29,10439.099999999999,8:14:28,31.67
ID3459918321,1.0,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-05-10,06:46:01,11495.340000000007,9:57:36,51.12
ID1938043585,0.0,7,6,-37.8618349,144.905716,-37.7874421,144.9804091,11630.0,2018-07-20,01:19:42,3678.539999999999,2:21:00,20.54
ID1493044472,0.0,1,9,-37.8016955,144.9635752,-38.1109156,144.6541725,44456.0,2018-01-27,10:54:20,10745.279999999999,13:53:25,27.13
ID3910583012,1.0,2,7,-37.8088806,144.9252933,-37.8618349,144.905716,11503.0,2018-07-10,02:43:45,3643.080000000001,3:44:28,29.8
ID1491657651,0.0,3,9,-37.8210743,144.9830055,-38.1109156,144.6541725,45487.0,2018-01-23,03:51:35,10936.259999999998,6:53:51,
ID3694585683,1.0,6,4,-37.7874421,144.9804091,-37.8007,144.9926214,2686.0,2018-06-24,04:51:34,661.5,5:02:35,22.17
ID1710267350,0.0,1,2,-37.8062689,144.9584207,-37.8224731,144.937681,3783.0,2018-04-24,05:24:13,965.1600000000001,5:40:18,16.81
ID3796997260,1.0,1,8,-37.8140839,144.9445116,-37.8158343,145.04645,9268.0,2018-06-01,06:36:46,2659.26,7:21:05,15.37
ID5658414920,2.0,7,4,-37.8618349,144.905716,-37.8126057,145.0110143,12155.0,2018-07-11,06:31:44,3891.4199999999983,7:36:35,236.13
ID1627383029,0.0,1,6,-37.8222937,144.9476247,-37.773845,144.9836895,7106.0,2018-05-25,15:48:07,1574.2800000000002,16:14:21,11.49
ID1214492497,0.0,3,5,-37.8201524,144.968697,-37.8034225,144.9386034,3894.0,2018-05-27,14:57:41,993.3600000000001,15:14:14,15.43
ID3961812801,1.0,7,2,-37.8618349,144.905716,-37.8245451,144.9469959,8849.0,2018-04-20,11:18:52,3113.2799999999993,12:10:45,15.65
ID1757236823,0.0,7,3,-37.8618349,144.905716,-37.8265624,144.9743124,8619.0,2018-06-18,12:18:25,2926.3199999999983,13:07:11,13.57
